"Aca_ca"	"All_ma"	"Amp_sp"	"Ant_lo"	"Bat_de"	"Bla_br"	"Cap_ow"	"Cat_an"	"Chr_pe"	"Cop_ci"	"Cor_li"	"Dic_pu"	"Enc_cu"	"Enc_in"	"Ent_bi"	"Ent_hi"	"Fon_al"	"Gan_pr"	"Ich_ho"	"Lei_ma"	"Mit_da"	"Mon_br"	"Mor_ve"	"Nae_gr"	"Nem_pa"	"Nos_ce"	"Par_at"	"Par_sa"	"Par_tr"	"Phy_in"	"Pla_fa"	"Pol_pa"	"Roz_al"	"Sal_ro"	"Sch_po"	"Sph_ar"	"Spi_pu"	"The_tr"	"Tox_go"	"Try_br"	"Ust_ma"
"KOG0563"	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	2	1	1	2	2	2	1	1	1	0	1	2	2	1	1	2	3	3	1	3	1	2	1	1
"KOG0564"	1	1	0	0	1	2	2	2	2	2	2	1	0	0	0	0	1	1	2	1	0	1	4	1	0	0	5	0	5	4	0	1	0	1	0	2	1	1	0	0	2
"KOG0566"	0	3	1	0	1	2	1	1	2	1	1	1	1	1	1	0	1	0	1	0	2	1	2	0	0	1	2	1	3	0	0	1	6	1	2	1	1	0	0	0	1
"KOG0567"	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	2	1	1	1	1	1	1	1	3	1	1	0	2	1	1	1	1	1	1	1	1
"KOG0569"	0	12	1	1	0	4	1	5	5	1	0	0	0	1	1	0	2	2	1	0	6	1	3	0	1	1	1	0	1	22	0	0	2	1	0	5	1	0	0	0	1
"KOG0571"	1	2	0	0	0	1	2	1	1	1	1	6	0	0	0	0	0	1	1	0	0	0	1	1	0	0	2	0	2	1	1	1	2	0	1	1	2	0	1	0	1
"KOG0572"	1	2	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1
"KOG0573"	0	2	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	1	3	0	1	1	1	5	1	1	1	2	1	1	1	1	1	0	1	1
"KOG0599"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	0	0
"KOG0602"	0	2	2	1	1	1	0	1	0	2	0	1	1	1	0	0	0	2	0	0	2	1	2	0	2	3	6	2	5	3	0	1	4	1	1	0	3	1	0	0	2
"KOG0622"	0	6	0	0	1	1	4	1	1	1	1	3	0	0	0	1	1	1	0	1	0	3	2	5	0	0	2	0	7	5	1	3	0	4	1	1	2	1	1	1	1
"KOG0623"	0	2	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	2	1	0	0	0	1
"KOG0625"	1	2	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	2	0	1	0	1	1	1	0	0	1	0	3	1	0	1	2	1	1	0	1	0	1	0	1
"KOG0626"	0	2	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	22	0	0	0	0	0	2	0	0	0	0	0
"KOG0628"	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	5	0	0	2	0	0	1	0	0	2	0	0	0	1	1
"KOG0629"	1	3	0	0	1	1	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2
"KOG0630"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"KOG0631"	2	1	0	0	1	1	12	1	2	1	1	1	0	0	0	1	0	2	1	0	0	2	2	1	0	0	4	0	3	3	0	1	0	3	1	2	2	1	1	1	1
"KOG0632"	1	7	0	0	1	2	0	2	1	0	0	1	0	0	0	0	3	1	1	0	0	1	2	2	0	0	1	1	1	2	0	3	2	0	1	0	2	0	0	0	0
"KOG0633"	1	2	0	0	1	1	1	1	1	2	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	2	1	0	0	0	1	1	1	1	1	0	0	1
"KOG0634"	2	3	0	0	1	1	2	1	1	4	1	4	0	0	0	0	1	4	1	0	0	1	2	2	0	0	6	0	2	2	0	3	1	1	2	1	2	1	1	0	2
"KOG0635"	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	2	1	1	0	0	0	1	0	1	0	0	1	2	1	1	0	1	0	1	0	1
"KOG0636"	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	2	0	0	1	2	0	1	1	1	0	1	0	1
"KOG0637"	0	3	0	0	1	1	0	2	9	1	1	1	0	0	0	3	0	1	2	0	0	0	1	1	0	0	0	0	2	5	0	2	0	0	1	2	2	3	0	0	1
"KOG0638"	1	2	0	0	1	1	1	1	1	0	1	3	0	0	0	0	1	1	0	0	2	1	1	2	0	0	1	1	2	2	0	3	2	1	0	1	1	1	0	0	0
"KOG0657"	0	4	0	0	0	1	1	0	1	2	0	1	1	1	1	4	0	0	2	4	0	0	2	2	1	1	0	1	1	10	1	1	2	2	2	5	1	1	2	3	1
"KOG0672"	0	11	0	0	3	46	5	76	0	3	1	1	0	0	0	3	0	1	1	1	2	1	1	1	0	0	2	1	3	1	1	1	2	2	1	1	1	1	1	1	1
"KOG0673"	3	3	1	0	2	1	2	2	1	1	2	0	2	2	1	0	1	1	1	1	2	1	2	1	1	0	3	3	0	1	1	0	2	2	1	1	2	1	1	1	1
"KOG0682"	1	8	0	0	1	2	2	2	6	4	2	3	0	0	0	0	0	4	0	0	0	4	4	4	0	0	2	0	5	4	0	4	0	2	3	2	2	0	0	0	2
"KOG0683"	3	0	0	0	1	0	0	0	4	4	2	2	0	0	0	0	1	2	1	1	0	1	2	2	0	0	1	1	1	2	1	2	0	1	0	2	2	0	1	1	2
"KOG0684"	5	2	0	0	2	1	2	1	3	8	1	1	0	0	0	0	1	5	1	1	0	3	1	3	0	0	2	0	2	0	0	1	2	3	0	1	2	1	0	1	3
"KOG0685"	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"KOG0692"	1	2	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	4	0	5	1	0	0	0	1	1	1	1	0	1	0	2
"KOG0693"	1	2	0	0	2	1	1	1	1	1	1	1	0	0	0	4	1	1	0	1	4	1	2	1	0	0	1	0	3	1	1	1	2	0	0	1	1	1	0	1	1
"KOG0707"	1	6	1	1	2	4	2	4	3	1	2	1	1	1	1	1	2	3	1	2	2	3	2	2	1	1	1	1	5	1	1	1	2	4	1	1	3	2	1	2	1
"KOG0711"	1	2	0	1	1	1	1	1	1	1	1	4	1	1	0	0	1	1	0	1	2	1	1	1	0	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1
"KOG0725"	5	6	0	0	1	3	5	2	4	18	11	6	0	0	0	2	1	19	1	1	0	12	11	7	0	0	8	1	4	10	0	6	2	10	4	7	3	2	2	0	18
"KOG0747"	3	2	0	0	1	1	1	1	1	0	1	2	0	0	0	3	2	1	1	1	0	1	1	0	0	0	2	0	8	4	0	1	1	0	1	2	2	2	0	0	0
"KOG0749"	2	3	0	0	1	2	1	2	2	1	1	3	0	0	0	0	1	1	1	3	2	2	5	12	0	0	3	1	3	1	1	3	4	1	1	4	2	1	3	2	1
"KOG0750"	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	1	2	0	0	0	0	1	0	2	0	0	1	1
"KOG0751"	4	5	0	0	2	2	2	2	2	1	0	2	0	0	0	0	1	1	2	0	0	1	3	5	0	0	2	2	4	4	0	2	4	0	0	3	1	1	0	0	1
"KOG0752"	10	4	0	0	2	2	7	2	5	2	5	5	0	0	0	1	3	3	2	2	4	2	5	2	0	0	4	1	7	7	1	4	4	3	3	4	2	6	2	2	2
"KOG0753"	5	1	0	0	1	1	2	0	1	0	0	1	0	0	0	2	2	1	0	0	0	3	1	1	0	0	5	0	0	2	0	1	2	3	0	2	0	4	0	0	1
"KOG0754"	1	2	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	2	0	0	2	1	2	1	0	0	1	1	2	0	0	1	2	1	1	0	1	3	0	0	1
"KOG0755"	2	4	0	0	2	2	1	2	3	1	1	1	0	0	0	0	0	3	2	1	0	2	2	0	0	0	5	1	1	1	0	1	0	2	0	3	2	0	0	0	1
"KOG0756"	3	9	0	0	2	3	2	4	2	4	1	1	0	0	0	0	1	3	0	0	2	1	5	0	0	0	3	1	4	4	1	1	4	1	2	2	5	0	1	0	5
"KOG0757"	3	3	0	0	1	2	1	1	2	2	2	2	0	0	0	0	1	1	1	2	6	1	1	1	0	0	1	1	4	1	0	2	2	1	1	2	2	0	0	2	1
"KOG0758"	8	8	0	0	4	5	8	6	5	3	8	3	0	0	0	0	5	6	1	3	8	2	5	5	0	1	11	1	12	3	0	2	3	4	2	3	9	8	0	2	4
"KOG0759"	6	2	0	0	0	0	5	1	4	2	3	1	0	0	0	0	1	4	1	8	0	3	1	3	0	0	2	0	4	2	1	0	0	7	0	3	1	1	1	1	2
"KOG0760"	1	2	0	0	1	1	1	1	1	1	1	2	0	0	0	1	1	1	1	1	2	1	0	1	0	0	2	1	2	1	1	1	2	1	1	1	4	1	1	1	1
"KOG0761"	1	2	0	0	1	2	1	1	1	1	1	2	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	2	2	1	0	2	1	1	1	1	1	1	0	1
"KOG0762"	4	7	0	0	0	2	1	1	0	2	0	1	0	0	0	0	1	1	1	2	0	2	2	1	0	0	1	0	0	4	0	2	6	1	0	2	1	2	0	2	2
"KOG0763"	3	2	0	0	0	1	0	2	0	2	2	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	2	0	2	0	0	0	4	2	0	1	2	0	0	0	1
"KOG0764"	2	4	0	0	2	2	3	2	1	2	1	1	0	0	0	0	2	2	0	2	2	2	2	4	0	0	2	2	4	1	1	2	4	1	1	2	2	1	0	2	2
"KOG0765"	2	2	0	0	1	1	4	1	2	0	1	1	0	0	0	0	0	0	1	3	0	1	2	2	0	0	3	1	1	1	0	1	2	1	0	1	1	3	0	2	0
"KOG0766"	1	3	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	2	0	0	1	1	1	1	0	0	2	1	1	0	1	0	1	0	1
"KOG0767"	4	4	1	0	1	1	1	1	1	1	1	2	0	0	0	0	1	2	3	3	2	1	2	3	0	0	4	2	2	4	1	2	0	1	1	1	2	1	1	2	2
"KOG0768"	2	3	0	0	1	2	1	2	2	1	2	0	0	0	0	0	1	1	1	1	2	1	2	0	0	0	1	2	2	1	1	0	4	1	2	2	2	1	1	1	2
"KOG0769"	1	4	0	0	2	3	0	4	0	3	0	1	0	0	0	0	0	4	0	0	0	0	3	1	0	0	2	0	5	3	0	1	4	0	0	0	3	1	2	0	3
"KOG0770"	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2	2	0	0	1	0	1	2	2	1	0	0	1	0	2	0	1	0	0
"KOG0776"	1	2	0	0	1	1	0	1	2	2	2	1	0	0	0	5	0	1	1	1	0	0	1	1	0	0	1	0	3	1	1	2	0	0	2	1	1	0	1	1	1
"KOG0777"	1	3	0	1	1	1	1	3	1	1	1	1	0	0	0	0	1	1	1	1	0	2	1	1	0	0	1	0	1	1	0	1	0	2	0	1	1	1	0	0	1
"KOG0782"	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
"KOG0784"	0	2	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	2	1	2	0	0	0	2	1	4	0	0	2	2	2	1	0	1	0	0	0	1
"KOG0785"	2	4	0	0	2	2	2	2	2	2	1	1	0	0	0	0	1	2	0	0	4	3	2	3	0	0	4	1	5	0	0	1	4	2	2	1	2	0	0	0	3
"KOG0786"	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	2
"KOG0788"	1	5	0	0	1	1	1	1	2	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	1
"KOG0795"	1	3	0	0	0	1	1	1	1	1	2	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1
"KOG0799"	0	0	0	0	2	0	0	0	5	0	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	3	0	2	0	1	1	0	0	0	0
"KOG0806"	1	4	0	0	1	2	4	2	7	2	2	2	0	0	0	1	1	2	2	2	0	3	2	4	0	0	1	1	5	2	0	2	0	4	3	2	2	3	1	1	3
"KOG0807"	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	2	0	0	1
"KOG0808"	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
"KOG0814"	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0
"KOG0817"	3	6	0	0	1	4	4	3	2	2	4	1	0	0	0	0	1	0	0	3	2	2	3	2	0	0	2	1	4	6	33	1	3	1	1	1	3	1	1	2	2
"KOG0831"	8	11	0	0	1	4	2	4	3	1	3	1	0	0	0	0	2	3	3	3	0	3	2	0	0	0	3	1	1	16	0	1	0	4	1	7	5	2	2	2	1
"KOG0833"	0	2	0	0	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	2	1	2	1	0	1	1	0	0	0	0	1	2	0	1	0	0	0	1	1	1
"KOG0872"	2	2	0	0	1	1	6	1	0	1	2	3	0	0	0	0	2	3	1	1	0	3	3	2	0	0	3	0	2	1	0	3	0	4	1	2	1	2	0	1	1
"KOG0873"	5	4	0	0	1	5	2	3	4	1	6	6	0	0	0	0	1	12	2	0	0	2	2	8	0	0	9	0	1	0	0	3	0	1	0	1	3	6	0	0	2
"KOG0874"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1
"KOG0876"	0	2	0	1	1	1	1	1	1	2	1	2	1	1	0	1	1	1	0	4	4	1	2	4	1	1	1	2	3	2	2	2	4	1	3	2	1	1	3	4	2
"KOG0888"	1	13	1	0	4	5	3	6	7	1	5	3	1	1	0	1	1	5	1	3	2	5	3	4	1	1	5	2	3	7	2	3	8	4	1	4	5	5	4	3	3
"KOG0913"	0	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0
"KOG0945"	1	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	1	0	1	0	2	1	2	2	1	0	0	0
"KOG0975"	1	4	0	0	2	1	2	1	2	2	2	1	0	0	0	0	2	4	0	1	2	2	2	1	0	0	2	1	3	1	0	1	2	3	1	3	2	1	1	2	3
"KOG1014"	1	2	0	0	1	1	1	1	1	2	2	5	1	1	0	0	1	6	1	2	0	3	1	0	1	0	1	1	4	0	0	3	2	4	1	2	2	1	0	2	3
"KOG1018"	1	3	1	0	1	1	0	1	1	1	1	2	1	1	1	2	1	1	1	1	2	0	1	2	1	0	1	1	2	2	1	1	0	1	2	1	1	0	2	1	2
"KOG1021"	3	2	0	0	0	0	7	0	4	0	5	0	0	0	0	0	1	2	1	0	0	1	1	1	0	0	6	1	0	0	0	0	0	13	0	6	0	1	0	0	0
"KOG1022"	1	0	0	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"KOG1030"	3	2	0	0	0	1	0	3	0	0	1	1	0	0	0	2	0	0	0	0	0	2	0	6	0	0	3	0	2	4	0	0	1	3	0	0	0	5	0	0	0
"KOG1032"	2	3	1	0	2	2	5	2	1	1	2	4	0	0	0	0	1	3	5	0	0	1	2	0	1	0	11	1	6	1	0	5	0	1	1	3	4	0	1	0	1
"KOG1046"	5	11	1	1	3	3	4	4	6	1	1	5	2	2	1	2	1	2	4	3	6	1	6	5	1	2	5	1	1	4	1	5	4	2	1	4	2	3	3	3	1
"KOG1047"	1	2	0	0	1	1	1	1	2	1	1	1	0	0	0	0	0	1	3	0	2	1	2	1	0	0	3	5	2	5	0	1	2	1	1	2	1	1	0	0	1
"KOG1050"	3	11	1	3	3	2	0	2	0	3	0	3	2	2	0	0	0	3	0	0	6	0	6	1	1	2	8	3	10	9	0	4	3	0	5	0	3	0	1	0	3
"KOG1052"	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
"KOG1065"	3	0	0	0	0	0	2	0	2	2	0	1	0	0	0	0	1	2	1	0	0	2	1	4	0	0	2	2	2	10	0	3	2	2	3	3	2	1	0	0	1
"KOG1066"	2	3	0	0	1	1	2	1	1	1	1	1	0	0	0	4	1	2	1	2	0	9	1	4	0	0	4	1	4	2	0	1	2	5	1	4	1	5	1	2	2
"KOG1096"	1	4	0	0	1	1	1	1	1	1	1	1	0	0	0	9	1	1	1	4	2	1	2	1	1	0	4	0	2	1	1	1	1	1	1	1	1	1	2	4	1
"KOG1097"	3	0	0	0	1	0	3	0	3	2	2	2	0	0	0	3	1	1	0	2	0	1	0	3	0	0	0	0	3	2	1	3	0	3	2	1	1	1	2	1	2
"KOG1102"	4	0	0	0	0	0	3	0	3	1	2	6	0	0	0	10	0	0	1	2	4	1	1	2	0	0	1	1	0	3	1	4	2	1	2	4	1	1	3	2	1
"KOG1110"	1	6	0	0	2	3	1	3	3	5	2	1	0	0	0	0	2	3	2	2	0	1	4	2	0	0	2	1	3	3	0	0	6	2	1	2	3	1	1	1	2
"KOG1112"	1	2	2	0	1	1	2	1	3	1	2	1	1	1	2	0	1	2	2	1	2	1	2	1	1	2	4	1	3	1	1	1	2	1	1	1	1	1	1	1	1
"KOG1115"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
"KOG1116"	3	2	0	0	0	2	3	2	1	1	3	3	0	0	0	3	1	1	1	0	0	2	3	2	0	0	5	1	2	5	0	2	0	3	1	1	4	2	0	0	1
"KOG1119"	0	2	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	2	1	1	1	0	0	1	0	0	1	1	0	2	1	1	1	1	1	1	1	1
"KOG1120"	1	2	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	2	1	2	1	0	0	1	0	0	1	2	1	2	1	1	1	1	1	2	1	1
"KOG1124"	4	9	1	0	8	5	2	6	6	0	3	1	1	1	0	5	1	4	0	2	0	7	1	9	0	1	6	1	7	6	0	1	4	9	1	2	8	4	0	2	0
"KOG1154"	1	2	0	0	1	1	0	1	0	1	1	0	0	0	0	0	2	1	0	1	0	1	1	0	0	0	2	0	0	4	0	0	0	1	1	0	1	2	1	0	1
"KOG1158"	6	5	0	2	2	2	3	2	4	2	3	5	1	1	1	0	3	4	5	3	4	3	4	5	1	1	5	0	1	10	2	4	5	2	4	4	5	3	3	3	2
"KOG1159"	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	0	3	1	1	1	1	1
"KOG1160"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	2	1	1	0	0	0	0	0	1	1	1	0	2	1	1	1	1	0	2	2	0
"KOG1161"	0	4	0	0	2	2	0	2	13	2	3	1	1	1	1	0	1	2	4	1	2	0	8	0	1	1	1	0	4	1	1	1	2	0	2	11	2	1	1	1	2
"KOG1169"	6	0	0	0	1	0	1	0	2	0	2	0	0	0	0	8	0	2	1	2	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	4	3	2	2	1	0
"KOG1170"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
"KOG1171"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0
"KOG1172"	1	0	0	0	0	0	1	0	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	1	3	1	0	0	0	1
"KOG1175"	0	10	1	1	2	3	2	4	2	3	1	26	1	1	0	0	1	5	0	2	2	1	3	4	1	2	3	1	8	7	1	3	4	2	1	2	2	1	3	1	4
"KOG1176"	3	6	0	0	1	0	2	3	2	14	3	51	0	0	0	15	0	9	2	4	0	3	1	5	1	0	4	0	7	10	4	21	2	4	1	7	3	1	0	1	12
"KOG1177"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
"KOG1178"	1	5	0	0	3	2	2	2	3	3	2	3	0	0	0	2	0	2	2	1	0	3	2	3	0	0	6	0	4	3	0	0	1	4	2	3	6	2	2	0	6
"KOG1179"	0	0	0	0	1	0	3	0	2	0	4	0	0	0	0	0	1	9	0	1	0	0	4	1	0	0	10	0	0	1	0	0	0	0	0	0	0	0	1	0	1
"KOG1180"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	5	0
"KOG1182"	0	2	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	2	0	1	4	1	1	1	0	0	1	1	2	1	1	1	2	1	0	1	1	1	2	1	1
"KOG1184"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	1
"KOG1185"	1	2	0	0	0	1	5	1	1	2	3	3	0	0	0	0	0	3	4	0	0	0	1	0	0	0	1	1	3	0	0	2	1	0	2	4	1	0	0	0	1
"KOG1186"	1	0	0	0	1	0	2	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	0	1	0	2
"KOG1192"	1	2	0	0	1	1	0	4	2	3	0	2	0	0	0	0	1	3	1	1	0	1	1	6	0	0	5	0	3	11	0	2	3	1	0	1	2	0	0	0	3
"KOG1197"	1	1	0	0	1	1	0	1	0	1	1	3	0	0	0	0	0	1	0	1	0	1	1	3	0	0	0	1	2	0	0	1	0	1	1	0	1	0	0	0	1
"KOG1198"	3	2	0	0	0	1	4	2	3	12	1	5	0	0	0	0	0	8	1	3	0	3	8	19	0	0	5	0	1	15	0	2	2	3	4	4	4	2	1	1	5
"KOG1199"	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	1
"KOG1200"	0	3	0	0	1	1	1	1	3	2	1	2	0	0	0	0	0	2	0	1	0	2	2	2	0	0	2	0	0	3	1	1	0	1	1	2	2	0	1	2	3
"KOG1201"	1	2	0	0	1	1	2	1	2	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	4	0	0	0	2	1	1	1	2	0	1	1
"KOG1202"	1	0	0	0	0	1	0	0	0	1	0	73	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	22	0	3	0	0	3	2	3	0	2
"KOG1203"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
"KOG1204"	0	2	0	0	2	1	2	1	1	1	4	1	0	0	0	0	1	2	0	0	0	0	3	1	0	0	2	2	1	3	0	2	0	1	1	0	2	1	1	0	1
"KOG1205"	8	2	0	0	0	0	1	0	0	3	2	22	0	0	0	0	0	4	2	1	0	3	1	5	0	0	3	0	0	1	0	6	0	2	1	2	1	4	2	1	1
"KOG1206"	2	5	0	0	1	2	3	2	0	3	2	2	0	0	0	0	1	8	0	2	2	2	5	2	0	0	4	1	2	1	0	2	0	2	0	0	3	0	1	1	2
"KOG1207"	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
"KOG1208"	10	7	0	0	5	3	4	4	6	14	8	5	0	0	0	6	1	20	3	6	2	4	24	40	0	0	14	1	1	8	1	7	1	3	2	4	7	6	2	4	6
"KOG1209"	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	4	0	0	3	0	0	0	0	0	0
"KOG1210"	1	2	0	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	2	1	1	1	2	3	1	0	2	3	1	2	4	2	1	1	1	1	1	1	1
"KOG1212"	1	3	0	0	0	0	1	1	0	4	3	0	0	0	0	0	0	6	0	1	0	1	0	1	0	0	5	1	6	0	0	0	0	2	2	1	1	1	0	1	6
"KOG1220"	4	2	2	0	1	1	1	1	1	1	1	1	1	1	0	3	1	1	1	1	2	1	1	1	0	0	4	1	2	1	1	2	1	1	1	1	0	1	1	0	1
"KOG1221"	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	6	2	0	0	2	0	0	1	0	1	0	0	0	2	0	1	1	1	1
"KOG1223"	2	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	3	1	0	0	0	1	1	1	1	0	0	0	1
"KOG1231"	0	0	0	0	1	0	1	0	1	2	1	1	0	0	0	0	0	4	1	2	0	1	0	2	0	0	0	0	0	3	0	1	0	1	0	2	1	1	0	0	1
"KOG1232"	1	2	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	2	2	0	0	4	1	2	2	0	1	2	1	1	1	1	1	0	0	1
"KOG1233"	3	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	1	0
"KOG1236"	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	2	4	1	1	1	1	0	1	1	3	1	0	1	4	1	1	2	2	0	1	2	1
"KOG1237"	1	6	1	0	0	3	1	2	42	2	4	6	1	1	0	0	0	1	4	1	0	1	3	2	1	1	1	1	1	7	0	3	1	1	1	4	2	3	0	0	1
"KOG1238"	1	1	0	0	0	1	1	1	2	36	0	1	0	0	0	0	0	1	0	1	0	1	1	2	0	0	1	0	0	14	0	3	0	0	0	1	1	1	7	1	9
"KOG1249"	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	2	1	1	1	2	0	0	1	0	0	2	0	0
