"Aca_ca"	"All_ma"	"Amp_sp"	"Ant_lo"	"Bat_de"	"Bla_br"	"Cap_ow"	"Cat_an"	"Chr_pe"	"Cop_ci"	"Cor_li"	"Dic_pu"	"Enc_cu"	"Enc_in"	"Ent_bi"	"Ent_hi"	"Fon_al"	"Gan_pr"	"Ich_ho"	"Lei_ma"	"Mit_da"	"Mon_br"	"Mor_ve"	"Nae_gr"	"Nem_pa"	"Nos_ce"	"Par_at"	"Par_sa"	"Par_tr"	"Phy_in"	"Pla_fa"	"Pol_pa"	"Roz_al"	"Sal_ro"	"Sch_po"	"Sph_ar"	"Spi_pu"	"The_tr"	"Tox_go"	"Try_br"	"Ust_ma"
"KOG0137"	1	3	0	0	0	1	2	1	2	3	5	1	0	0	0	0	2	2	0	1	0	1	3	1	0	0	2	0	4	2	0	1	1	1	0	2	4	2	0	1	2
"KOG0138"	2	2	0	0	1	1	1	1	0	1	1	2	0	0	0	0	0	1	0	0	2	1	1	1	0	0	1	1	1	1	0	2	0	1	0	0	1	0	1	0	1
"KOG0139"	0	3	0	0	2	3	2	2	1	1	1	1	0	0	0	0	1	3	1	2	4	1	2	1	0	0	2	0	7	3	0	1	2	2	0	1	1	2	0	1	2
"KOG0140"	1	4	0	0	3	2	2	2	2	0	3	1	0	0	0	0	2	3	0	1	0	3	3	1	0	0	4	2	3	1	0	1	4	2	0	1	1	2	0	0	1
"KOG0141"	0	1	0	0	3	0	1	1	2	3	2	1	0	0	0	0	0	7	3	1	2	2	1	0	0	0	1	0	2	1	0	0	1	2	0	4	1	2	1	1	2
"KOG0142"	1	2	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	2	1	1	1	0	1	1	1	2	1	0	1	2	1	1	1	1	1	0	0	1
"KOG0143"	1	3	0	0	1	0	0	1	2	6	4	7	0	0	0	0	0	16	0	2	0	2	7	1	0	0	1	0	0	9	0	2	0	1	2	2	5	0	0	5	5
"KOG0156"	0	14	0	0	0	3	0	4	0	66	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	4
"KOG0157"	12	49	0	0	3	21	5	17	2	38	13	2	0	0	0	0	4	27	2	3	0	5	26	25	0	0	30	0	6	30	0	2	4	6	1	10	5	5	0	1	9
"KOG0158"	2	2	0	0	2	0	0	2	0	21	1	0	0	0	0	0	0	24	0	0	0	0	5	24	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	4
